Catalogue,Findspot,Province,Denomination,Mint_Year,Mint
333,Guelma,Numidia,sestertius,256.0,Rome
334,Guelma,Numidia,sestertius,256.0,Rome
335,Guelma,Numidia,sestertius,256.0,Rome
336,Guelma,Numidia,sestertius,256.0,Rome
337,Guelma,Numidia,sestertius,256.0,Rome
338,Guelma,Numidia,sestertius,254.0,Rome
339,Guelma,Numidia,sestertius,254.0,Rome
340,Guelma,Numidia,sestertius,254.0,Rome
341,Guelma,Numidia,sestertius,254.0,Rome
342,Guelma,Numidia,sestertius,254.0,Rome
343,Guelma,Numidia,sestertius,254.0,Rome
344,Guelma,Numidia,sestertius,254.0,Rome
345,Guelma,Numidia,sestertius,254.0,Rome
346,Guelma,Numidia,sestertius,254.0,Rome
347,Guelma,Numidia,sestertius,254.0,Rome
348,Guelma,Numidia,sestertius,254.0,Rome
349,Guelma,Numidia,sestertius,256.0,Rome
350,Guelma,Numidia,sestertius,256.0,Rome
351,Guelma,Numidia,sestertius,256.0,Rome
352,Guelma,Numidia,sestertius,256.0,Rome
353,Guelma,Numidia,sestertius,210.0,Rome
354,Rusguniae,Numidia,sestertius,71.0,Rome
355,Rusguniae,Numidia,sestertius,97.0,Rome
356,Rusguniae,Numidia,sestertius,97.0,Rome
357,Rusguniae,Numidia,sestertius,108.0,Rome
358,Rusguniae,Numidia,sestertius,115.0,Rome
359,Rusguniae,Numidia,sestertius,108.0,Rome
360,Rusguniae,Numidia,sestertius,127.0,Rome
361,Rusguniae,Numidia,sestertius,128.0,Rome
362,Rusguniae,Numidia,sestertius,129.0,Rome
363,Rusguniae,Numidia,sestertius,129.0,Rome
364,Rusguniae,Numidia,sestertius,129.0,Rome
365,Rusguniae,Numidia,sestertius,135.0,Rome
366,Rusguniae,Numidia,sestertius,118.0,Rome
367,Rusguniae,Numidia,sestertius,128.0,Rome
368,Rusguniae,Numidia,sestertius,128.0,Rome
369,Rusguniae,Numidia,sestertius,128.0,Rome
370,Rusguniae,Numidia,sestertius,134.0,Rome
371,Rusguniae,Numidia,sestertius,142.0,Rome
372,Rusguniae,Numidia,sestertius,142.0,Rome
373,Rusguniae,Numidia,sestertius,153.0,Rome
374,Rusguniae,Numidia,sestertius,152.0,Rome
375,Rusguniae,Numidia,sestertius,154.0,Rome
376,Rusguniae,Numidia,sestertius,154.0,Rome
377,Rusguniae,Numidia,sestertius,150.0,Rome
378,Rusguniae,Numidia,sestertius,150.0,Rome
379,Rusguniae,Numidia,sestertius,150.0,Rome
380,Rusguniae,Numidia,sestertius,141.0,Rome
381,Rusguniae,Numidia,sestertius,141.0,Rome
382,Rusguniae,Numidia,sestertius,141.0,Rome
383,Rusguniae,Numidia,sestertius,141.0,Rome
384,Rusguniae,Numidia,sestertius,163.0,Rome
385,Rusguniae,Numidia,sestertius,164.0,Rome
386,Rusguniae,Numidia,sestertius,164.0,Rome
387,Rusguniae,Numidia,sestertius,164.0,Rome
388,Rusguniae,Numidia,sestertius,165.0,Rome
389,Rusguniae,Numidia,sestertius,165.0,Rome
390,Rusguniae,Numidia,sestertius,166.0,Rome
391,Rusguniae,Numidia,sestertius,168.0,Rome
392,Rusguniae,Numidia,sestertius,171.0,Rome
393,Rusguniae,Numidia,sestertius,172.0,Rome
394,Rusguniae,Numidia,sestertius,169.0,Rome
395,Rusguniae,Numidia,sestertius,173.0,Rome
396,Rusguniae,Numidia,sestertius,171.0,Rome
397,Rusguniae,Numidia,sestertius,169.0,Rome
398,Rusguniae,Numidia,sestertius,169.0,Rome
399,Rusguniae,Numidia,sestertius,169.0,Rome
400,Rusguniae,Numidia,sestertius,169.0,Rome
401,Rusguniae,Numidia,sestertius,169.0,Rome
402,Rusguniae,Numidia,sestertius,169.0,Rome
403,Rusguniae,Numidia,sestertius,176.0,Rome
404,Rusguniae,Numidia,sestertius,164.0,Rome
405,Rusguniae,Numidia,sestertius,169.0,Rome
406,Rusguniae,Numidia,sestertius,164.0,Rome
407,Rusguniae,Numidia,sestertius,164.0,Rome
408,Rusguniae,Numidia,sestertius,164.0,Rome
409,Rusguniae,Numidia,sestertius,164.0,Rome
410,Rusguniae,Numidia,sestertius,179.0,Rome
411,Rusguniae,Numidia,sestertius,179.0,Rome
412,Rusguniae,Numidia,sestertius,182.0,Rome
413,Rusguniae,Numidia,sestertius,184.0,Rome
414,Rusguniae,Numidia,sestertius,184.0,Rome
415,Rusguniae,Numidia,sestertius,186.0,Rome
416,Rusguniae,Numidia,sestertius,186.0,Rome
417,Rusguniae,Numidia,sestertius,187.0,Rome
418,Rusguniae,Numidia,sestertius,187.0,Rome
419,Rusguniae,Numidia,sestertius,188.0,Rome
420,Rusguniae,Numidia,sestertius,191.0,Rome
421,Rusguniae,Numidia,sestertius,192.0,Rome
422,Rusguniae,Numidia,sestertius,192.0,Rome
423,Rusguniae,Numidia,sestertius,186.0,Rome
424,Rusguniae,Numidia,sestertius,186.0,Rome
425,Rusguniae,Numidia,sestertius,186.0,Rome
426,Rusguniae,Numidia,sestertius,186.0,Rome
427,Rusguniae,Numidia,sestertius,182.0,Rome
428,Rusguniae,Numidia,sestertius,182.0,Rome
429,Rusguniae,Numidia,sestertius,182.0,Rome
430,Rusguniae,Numidia,sestertius,195.0,Rome
431,Rusguniae,Numidia,sestertius,195.0,Rome
432,Rusguniae,Numidia,sestertius,195.0,Rome
433,Rusguniae,Numidia,sestertius,195.0,Rome
434,Rusguniae,Numidia,sestertius,196.0,Rome
435,Rusguniae,Numidia,sestertius,202.0,Rome
436,Rusguniae,Numidia,sestertius,195.0,Rome
437,Rusguniae,Numidia,sestertius,210.0,Rome
438,Rusguniae,Numidia,sestertius,195.0,Rome
439,Rusguniae,Numidia,sestertius,220.0,Rome
440,Rusguniae,Numidia,sestertius,224.0,Rome
441,Rusguniae,Numidia,sestertius,225.0,Rome
442,Rusguniae,Numidia,sestertius,226.0,Rome
443,Rusguniae,Numidia,sestertius,226.0,Rome
444,Rusguniae,Numidia,sestertius,227.0,Rome
445,Rusguniae,Numidia,sestertius,228.0,Rome
446,Rusguniae,Numidia,sestertius,235.0,Rome
447,Rusguniae,Numidia,sestertius,227.0,Rome
448,Rusguniae,Numidia,sestertius,227.0,Rome
449,Rusguniae,Numidia,sestertius,227.0,Rome
450,Rusguniae,Numidia,sestertius,227.0,Rome
451,Rusguniae,Numidia,sestertius,227.0,Rome
452,Rusguniae,Numidia,sestertius,233.0,Rome
453,Rusguniae,Numidia,sestertius,233.0,Rome
454,Rusguniae,Numidia,sestertius,233.0,Rome
455,Rusguniae,Numidia,sestertius,233.0,Rome
456,Rusguniae,Numidia,sestertius,233.0,Rome
